# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
strawberry	85	199	0.43	0.071	the perfumed soap composition manifests an excellent strawberry character with a berry undertone
increased	85	68	1.25	0.071	example xvii the following mixture is prepared: ______________________________________ ingredients parts by weight ______________________________________ natural raspberry concentrate 2.5% raspberry juice 85.0% sugar syrup (37.5° baume) 12.5% ______________________________________ the ripened raspbe
concentration	85	82	1.04	0.082	the aromas of the liquid detergent increase with increasing concentration of the composition as set forth in table i of example viii
waxy	85	116	0.73	0.118	a green, waxy, cocoa- butter-like aroma pro- file with a green, waxy, cocoa powder and bitter flavor pro- file at 2 ppm
animalic	84	247	0.34	0.048	hence, by the term &#34;schiff base reaction product&#34; is intended to mean not only compounds having the structure: ##str45## but other compounds formed along with these compounds as a result of the reaction of alkyl anthranilates having the structure: ##str46## with ketones or aldehydes having t
tea	84	93	0.90	0.060	the product with the 1-acetyl-2,6,6-trimethylcyclohexene mixture has a more herbaceous, more peppermint, tea, slightly earthy note which is preferred by the bench panel.
cedarwood	83	114	0.73	0.096	the prins reaction products of our invention produced according to the process of our invention are capable of augmenting or enhancing sweet, floral, coriander-like, fruity, cedarwood and oriental aroma characteristics and sweet, vanilla-like, floral, fruity, coriander-like, cedarwood-like and raisi
basic	83	91	0.91	0.096	3,499,769 it is emphasized that the basic nuance imparted by 2-methyl-2-pentenoic acid is a &#34;berry&#34; flavor
watery	82	119	0.69	0.049	in particular, (r)-3-(4-isopropylcyclohex-1-en-1-yl)propanal imparts a lily of the valley, floral, sweet, watery, powdery and ozone-like note, whereas (s)-3-(4-isopropylcyclohex-1-en-1-yl)propanal is less preferred and confers a lily of the valley, fruity, green, watery and aldehydic-like note
pineapple	82	140	0.59	0.061	at a concentration of 0.5 ppm, the resulting product, ethyl-2-methyl-3,4-pentadienoate has a fruity, strawberry, creamy aroma with berry, apple and pineapple notes and a sweet, fruity, strawberry flavor with woody and creamy nuances
lily	82	164	0.50	0.061	an especially valuable class of these floral fragrances are compounds with an odor note of lily of the valley
special	82	48	1.71	0.159	of special interest are aroma chemicals, which can impart one or more distinct sensory impressions to a composition, thereby contributing to a rich and interesting sensory profile, especially an olfactory profile of the composition
chemicals	82	48	1.71	0.171	as a rule, the customary standard commercial amounts for aroma chemicals, preferably for scents are used
pepper	82	95	0.86	0.098	## str15## 1,5-dimethyl-3- n-pentyl-2-oxa- bicyclo[2.2.2] octane a woody, spicey and black pepper aroma with black pepper flavor character- istics insofar as food- stuffs are concerned
rosey	82	142	0.58	0.098	4,028,279 that such perfume compositions containing such mixtures have intense rosey aromas with woody, green and earthy notes
harsh	81	96	0.84	0.074	in smoke flavor, the &#34;experimental&#34; cigarettes are found to be more aromatic, more sweet with bitter, richer and less harsh nuances on smoking in both the mainstream and the sidestream than the &#34;control&#34; cigarettes
defined	81	55	1.47	0.259	complexity of odor notes refers to the presence of multiple and/or mixed but defined odors rather than a single note or a few easily identifiable notes
sandalwood-like	81	141	0.57	0.123	materials which can provide sandalwood-like, urine-like and musky aromas with floral and muguet undertones are desirable and are known in the art of perfumery
ambergris	81	201	0.40	0.136	indeed, example 5 of the british patent alleges that the compound 1,1,6,6-tetramethyl-7-ketomethyl-octalin produced by (1) reacting myrcene and mesityl oxide thermally followed by (2) subsequent cyclization, has a pleasant &#34;woody ambergris smell&#34;
quite	81	62	1.31	0.062	truly, an olfactorily pure grade of hydratropyl alcohol shows quite interesting odor and should give the creative perfumer many good ideas
ionone-like	81	126	0.64	0.074	examples of mixtures of products and individual products produced according to the foregoing reaction sequence are set forth in table i, infra: table i __________________________________________________________________________ structure of product(s) and example by which produced fragrance evaluatio
cologne	81	127	0.64	0.086	as used herein, the term &#34;enhance&#34; is intended to mean the intensification (without effecting a change in the kind or quality of aroma) of one or more aroma nuances and their organoleptic impression of a perfume, perfume composition, cologne or one or more perfumed articles
clearly	80	72	1.11	0.113	in most cases a quantity of only 1 ppm in a perfume composition will already be sufficient to obtain a clearly perceptible odor effect
head	80	105	0.76	0.100	the three notes correspond to the greater or lesser volatility of the ingredients of which they are composed: highly volatile head note, moderately volatile heart note and sparingly volatile base note
tart	80	41	1.95	0.388	however, the odor of a typically tart apple can also be concise
chypre	79	115	0.69	0.101	the chypre essence produced according to example vi(b) can be described as &#34;a chypre aroma with a woody, urine, buttery, caramel topnote profile&#34;
achieve	79	50	1.58	0.127	however, if the desired reaction product as above is to be utilized as a reaction intermediate, the necessity of careful rectification of the reaction product in order to achieve odor acceptable substances or flavor acceptable substances is not necessary since the resultant reaction product will be 
hyacinth	79	123	0.64	0.127	each of the detergent samples have an excellent floral honey-like, dry green hyacinth, rose and galbanum aroma
black	79	98	0.81	0.101	## str15## 1,5-dimethyl-3- n-pentyl-2-oxa- bicyclo[2.2.2] octane a woody, spicey and black pepper aroma with black pepper flavor character- istics insofar as food- stuffs are concerned
found	78	70	1.11	0.038	still more particularly, the applicant has found compounds that possess odour characteristics, which may be perceived and recognised by perfumers as being very reminiscent of the odour of lilial™ and so can serve as a simple replacement for lilial™
peach	78	109	0.72	0.077	4,491,537 as having a green, woody, peach like aroma, i.e
peel	78	79	0.99	0.103	an intense, minty and citrus fruit and lemon peel aroma and taste
ripe	77	37	2.08	0.532	if this apple odor were very pleasant because the odor is reminiscent, for example, of a sweet, fully ripe apple, the odor would be termed “nice”
heart	77	120	0.64	0.104	the three notes correspond to the greater or lesser volatility of the ingredients of which they are composed: highly volatile head note, moderately volatile heart note and sparingly volatile base note
replace	76	27	2.81	0.395	there is, accordingly, a continuing effort to find synthetic materials which will replace the essential fragrance notes provided by natural essential oils or compositions thereof
galbanum	75	160	0.47	0.133	each of the detergent samples have an excellent floral honey-like, dry green hyacinth, rose and galbanum aroma
prior	75	49	1.53	0.080	the dithiolane, dioxolane and oxathiolane compounds of our invention also augment or enhance the sweet, woody, vetiver-like, and cedar-like aroma and taste nuances of black tobacco and cigar tobacco both prior to and on smoking in both the main stream and the side stream
camphor	75	109	0.69	0.080	on purification a deep woody, earthy camphor- aceous, patchouli-like aroma with amber and leathery undertones
freshly	75	49	1.53	0.240	a greater degree of the natural character of freshly squeezed orange juice 2
together	75	54	1.39	0.120	it is a further requirement that such material be organoleptically compatible with the foodstuff with which it is used so that the flavor and aroma nuances of such material, taken together with the flavor and aroma nuances of the foodstuff (as a whole) give rise to a harmoniously aesthetically pleas
single	74	50	1.48	0.284	complexity of odor notes refers to the presence of multiple and/or mixed but defined odors rather than a single note or a few easily identifiable notes
hay-like	74	106	0.70	0.216	this invention further provides improved tobacco additives and additives for materials used in the fabrication of tobacco articles (particularly smoking tobacco articles) and methods whereby desirable hay-like notes may be imparted to smoking tobacco products and may be readily varied and controlled
lactonic	74	117	0.63	0.108	mixture of alcohols prepared 0.5 ppm according to example v, bulked fractions 5-17 ______________________________________ the addition of the mixture of alcohols prepared according to example v adds to this papaya nectar a very natural &#34;fruity&#34; lactonic aroma and taste profile making it much
